idx,name,score,writer,age_limit
1182,무지개다리 파수꾼,9.87,이서,0
1183,서천화원,9.66,곡,0
1184,봄날의 팔광,9.58,우표,0
1185,뱀파이어님의 대리식사,9.46,웬즈데이,0
1186,현세이의 보이는 라디오,9.88,부족,0
1187,강호표사,9.76,OZi,0
1188,사귄 건 아닌데,9.88,민홍,0
1189,하나밖에 안 보여!,9.88,샌도,0
1190,쓰레기 머학생,7.74,수레기,0
1191,흑우,9.66,늙슬,0
1192,타원을 그리는 법,9.88,섬멍,0
1193,교수님을 빚는 중,9.84,서아,0
1194,조류공포증,9.80,조눈/리도,0
1195,이대로 멈출 순 없다,9.88,골왕,0
1196,그라티아,9.58,기현,0
1197,NR 뉴월드,9.75,전상영,0
1198,일단 질러! 질렐루야,9.60,yami ,0
1199,트레이스,9.79,고영훈,0
1200,오무라이스 잼잼,8.85,조경규,0
1201,개목걸이,9.30,만두,0
1202,신랑이 사라졌다,9.83,방자,0
1203,화목한 가족,9.80,서늬,0
1204,악마의 편집,9.70,건초,0
1205,대선비쇼에 어서오세요!,9.62,아람,0
1206,사랑하는 존재,9.89,향유 크리에이티브,0
1207,비밀 사이,9.89,맥퀸스튜디오,0
1208,아싸클럽,9.66,랑쓰,0
1209,너를 만나다,9.88,다노아,0
1210,뱀파이어 신드롬,9.20,이충호,0
1211,화폐개혁,9.62,임정호,0
1212,그녀의 앵무새,9.92,금계수,0
1213,닥터 파인의 하루,9.88,김용회,0
1214,단두 (斷頭),9.79,이동욱,1
1215,해오와 사라,9.92,송송이,0
1216,"신성한, 이혼",9.82,강태경,0
1217,멸종인간,9.83,디디,0
1218,우리집이거든요!,9.50,공룡,0
1219,학교대표,8.79,동훈,0
1220,미래의 너에게,9.88,정은,0
1221,아비무쌍,9.89,이현석,0
1222,지옥사원,9.88,캐러멜,0
1223,왕 그리고 황제,9.89,정이리이리,0
1224,딩스뚱스,9.78,딩스,0
1225,수린당 -비늘 고치는 집-,9.96,일링스,0
1226,미드나잇 블루,9.81,보보군,0
1227,2020 전남콘랩 웹툰 창작 아카데미,9.63,전남콘텐츠코리아랩,0
1228,악녀의 탄생,9.82,TB,0
1229,두번째 썸,9.72,비아이,0
1230,저승사자 온라인,8.79,쑨,0
1231,CELL,9.90,강형규,0
1232,아버지의 복수는 끝이 없어라,9.87,강태진,0
1233,노력의 卍(만),9.69,행자,0
1234,죽어도! 치우,9.76,만백,0
1235,용의주도 황비,9.54,산맡,0
1236,금수친구들,9.24,짤태식,0
1237,설공찬전,9.84,YSE,0
1238,말하지 말까,9.91,마루,0
1239,하나하나둘,9.92,고은,0
1240,콜로세움,9.81,한큰빛,0
1241,키스해주세요,9.86,산다하,0
1242,우리가 사랑하는 방법,9.92,기비,0
1243,우리학교 김선생님,9.94,복슬,0
1244,후크,9.79,나진수,0
1245,쌍갑포차,9.95,배혜수,0
1246,이게뭐야,8.28,지지,1
1247,블랙 베히모스,9.84,케이지콘,0
1248,창백한 말,9.20,추혜연,0
1249,백로식당,9.92,이나이,0
1250,러브 스트리밍,9.35,권다희,1
1251,함께 춤을,9.68,도연,0
1252,백의사자,9.87,체사,0
1253,시간이 머문 집,9.83,헤고,0
1254,마이셀프,9.70,기행,0
1255,록산,9.90,백작,0
1256,논현동 장사꾼,9.70,구김,0
1257,중고거래,9.14,주명,0
1258,살어리랏다,9.50,김민소,1
1259,고교호구왕,9.77,슥수,0
1260,스타의 학교생활,9.78,올챙구리,0
1261,냥냐라냥냥,9.69,손달섭,0
1262,옆집남자,9.74,임수영,0
1263,신의 태궁,9.94,해소금,0
1264,이담,9.75,정두,0
1265,샬롯에게는 다섯 명의 제자가 있다,9.94,용용,0
1266,특별직,9.82,금기혁,0
1267,블랙윈터,9.87,정이나,0
1268,경이로운 소문,9.94,장이,0
1269,단짠남녀,9.84,근영,0
1270,구리의 구리구리 컴백,9.89,구리,0
1271,프레너미,9.93,돌석,0
1272,지금은 연애를 쉽니다,9.80,유현숙,0
1273,우리가 헤어진 사이에,9.79,오하,0
1274,파륜아이,9.77,박은비,0
1275,나비는 세 번 변태한다,7.57,컨트리리,0
1276,불러줘 내 이름만,9.83,꿀삼,0
1277,미완결,9.83,안나래,1
1278,그림자정원,9.86,비둘기,0
1279,열무와 알타리,9.93,유영,0
1280,랑데부,9.88,지민,0
1281,닭은 의외로 위대하다,9.86,미역의효능,0
1282,인스타러브,9.02,달나리,0
1283,나만 아는 사랑,9.58,아임,0
1284,오늘도 꽐랄라라,9.73,아실,0
1285,키몽의 호구로운 생활,9.88,키몽,0
1286,바리공주,9.93,김나임,0
1287,헤븐 투 헬,9.56,김종훈,1
1288,소녀신선,9.86,효미,0
1289,퀴퀴한 일기,9.84,2B,0
1290,주간소년열애사,9.90,박시인,0
1291,허약선생,9.70,울펜,0
1292,우리반 숙경이,9.89,뽀얌,0
1293,유치원 신드롬,9.43,jaw,1
1294,후궁공략,9.77,봉봉,0
1295,유부녀 킬러,9.93,검둥,0
1296,피치 (PITCH),9.85,지뚱X강용,0
1297,흔한 환생녀의 사정,9.91,풀모,0
1298,오늘은 꼭 고백할 거야!,9.63,CHYA,0
1299,어린 (물고기 비늘),9.80,윤태호,0
1300,이세계 전담반,9.29,택,0
1301,너를 기다리는 날,9.93,복복,0
1302,방탕일기,5.74,단지,0
1303,경성야상곡,9.89,김라무,0
1304,순정 히포크라테스,9.93,골드키위새,0
1305,할매,9.88,재후,0
1306,악역의 구원자,9.85,잿슨,0
1307,풍검,9.08,김철현 ,0
1308,주말 도미 시식회,9.90,이용우,0
1309,여의주,9.86,김한석,0
1310,이토록 보통의,9.48,캐롯,1
1311,반지하셋방,9.80,평범한 자매,0
1312,멀리서 보면 푸른 봄,9.86,지늉,0
1313,천연 天緣,9.62,ALIC,0
1314,레드스톰,9.49,암현,0
1315,크라우드,9.55,파크,0
1316,질투유발자들,9.40,김꽁,0
1317,퍼펙트 마인,9.72,나리온,0
1318,미래의 사진,9.76,낑깡,0
